source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2024,StGB  ,StGB § 329 Abs. 4 Schädigung von Natura2000-Gebieten - vorsätzlich,4.0,3.0,0.75,75.0
2024,StGB  ,StGB § 330 Besonders schwerer Fall einer Umweltstraftat,8.0,2.0,0.25,25.0
2024,StGB  ,StGB § 331 Vorteilsannahme ,7.0,6.0,0.8571428571428571,85.71428571428571
2024,StGB  ,StGB § 332 Bestechlichkeit ,25.0,14.0,0.56,56.00000000000001
2024,StGB  ,StGB § 333 Vorteilsgewährung ,26.0,23.0,0.8846153846153846,88.46153846153845
2024,StGB  ,StGB § 334 Bestechung ,209.0,180.0,0.861244019138756,86.1244019138756
2024,StGB  ,StGB § 335 Besonders schwere Fälle der Bestechlichkeit und Bestechung,18.0,17.0,0.9444444444444444,94.44444444444444
2024,StGB  ,StGB § 339 Rechtsbeugung ,10.0,9.0,0.9,90.0
2024,StGB  ,StGB § 348 Falschbeurkundung im Amt ,44.0,12.0,0.2727272727272727,27.27272727272727
2024,StGB  ,StGB § 353 b Verletzung des Dienstgeheimnisses und einer besonderen Geheimhaltungspflicht,56.0,40.0,0.7142857142857143,71.42857142857143
2024,StGB  ,StGB § 353 d Verbotene Mitteilungen über Gerichtsverhandlungen,15.0,9.0,0.6,60.0
2024,StGB  ,StGB § 356 Parteiverrat ,24.0,6.0,0.25,25.0
2024,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,7.0,4.0,0.5714285714285714,57.14285714285714
2024,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,1047.0,880.0,0.8404966571155683,84.04966571155683
2024,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,2524.0,1962.0,0.777337559429477,77.7337559429477
2024,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,6.0,5.0,0.8333333333333334,83.33333333333334
2024,StGB  ,StGB § 89 c Terrorismusfinanzierung ,1.0,1.0,1.0,100.0
2024,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,5.0,2.0,0.4,40.0
2024,StGB  ,StGB § 91 Anleitung zur Begehung einer schweren staatsgefährdenden Gewalttat,2.0,2.0,1.0,100.0
2024,StGB  ,StGB § 99 Geheimdienstliche Agententätigkeit,1.0,1.0,1.0,100.0
2024,StGB  ,"StGB §§ 102, 104 Straftaten gegen ausländische Staaten ",7.0,4.0,0.5714285714285714,57.14285714285714
2024,StGB  ,StGB §§ 107 bis 108 b Wahlvergehen ,8.0,5.0,0.625,62.5
2024,StGB  ,"StGB §§ 123, 124 Hausfriedensbruch ",4312.0,3241.0,0.7516233766233766,75.16233766233766
2024,StGB  ,"StGB §§ 142, 315 b bis d,316 sowie 222,229, §§ 323 a i.V.m. Verkehrsunfall, StVG §§ 21, §§ 22,22 a,22 b Straftaten im Straßenverkehr",184437.0,162384.0,0.8804307161795084,88.04307161795084
2024,StGB  ,"StGB §§ 146 bis 149 Geld-, Wertzeichen- und Wertpapierfälschung ",469.0,356.0,0.7590618336886994,75.90618336886993
2024,StGB  ,"StGB §§ 166, 167 Religions- und Weltanschauungs- delikte",20.0,18.0,0.9,90.0
2024,StGB  ,"StGB §§ 212, 213 Totschlag ",503.0,313.0,0.6222664015904572,62.22664015904572
2024,StGB  ,"StGB §§ 257, 258 und 258 a Begünstigung und Strafvereitelung Strafvereitelung im Amt",940.0,694.0,0.7382978723404255,73.82978723404256
2024,StGB  ,"StGB §§ 277, 278 und 279 Andere Straftaten der Urkundenfälschung ",1322.0,650.0,0.491679273827534,49.167927382753405
2024,StGB  ,"StGB §§ 288, 289 Vereiteln der Zwangsvollstreckung, Pfandkehr ",177.0,132.0,0.7457627118644068,74.57627118644068
2024,StGB  ,"StGB §§ 307, 308 Herbeiführen einer Explosion ",254.0,194.0,0.7637795275590551,76.37795275590551
2024,StGB  ,"StGB §§ 309, 310, 313, 314, 318 und 319 Andere gemeingefährliche Straftaten ",18.0,11.0,0.6111111111111112,61.111111111111114
2024,StGB  ,"StGB §§ 344, 345 Verfolgung Unschuldiger, Vollstreckung gegen Unschuldige",5.0,3.0,0.6,60.0
2024,StGB  ,"StGB §§ 352, 353 Gebühren- und Abgabenüberhebung, Leistungskürzung",7.0,3.0,0.42857142857142855,42.857142857142854
2024,StGB  ,StGB §§ 81 bis 83 Hochverrat ,2.0,1.0,0.5,50.0
